event_id,time,longitude,latitude,depth,magnitude,strike,dip,rake,quality_rank,a_plane_uncertainty,b_plane_uncertainty,probability,p_phase_num,p_misfit,s_phase_num,s_misfit
1,2023-02-27T02:51:20.010Z,37.5825,37.9542,1.60,4.80,251.0,57.0,177.0,D,45.0,55.0,32.0,10,23.0,11,82
2,2023-02-27T04:43:16.750Z,37.2683,37.5785,5.60,2.70,288.0,76.0,-154.0,A,19.0,26.0,91.0,10,15.0,9,56
4,2023-02-27T13:26:39.430Z,38.2597,38.3085,7.60,2.20,340.0,51.0,-177.0,D,39.0,36.0,37.0,8,29.0,7,37
3,2023-02-27T15:06:35.390Z,38.1887,37.9848,11.70,3.20,69.0,44.0,-126.0,B,25.0,29.0,81.0,12,3.0,13,75
5,2023-02-27T16:16:45.640Z,37.5737,37.9588,6.60,3.80,234.0,75.0,-155.0,A,27.0,16.0,90.0,13,18.0,11,39
6,2023-02-27T19:01:04.130Z,38.0507,38.2270,-1.00,2.50,13.0,69.0,-137.0,C,37.0,43.0,51.0,11,0.0,12,61
7,2023-02-27T22:37:55.970Z,38.3158,38.2912,4.10,2.10,179.0,11.0,148.0,C,39.0,30.0,57.0,10,24.0,10,48
8,2023-02-27T22:46:39.230Z,37.8840,37.9228,16.60,2.80,9.0,40.0,99.0,B,19.0,24.0,94.0,13,28.0,12,83
